NDVI,NDWI,.geo
0.7855055523085914,-0.6689429117727397,"{""type"":""Point"",""coordinates"":[79.31947925142406,17.064072654677116]}"
0.7637067938021455,-0.6729790842283776,"{""type"":""Point"",""coordinates"":[79.25723040071027,17.002539142554827]}"
0.8130460104834013,-0.7043525869148645,"{""type"":""Point"",""coordinates"":[79.30558659417692,17.06133703579991]}"
0.3417667238421955,-0.4416033172080166,"{""type"":""Point"",""coordinates"":[79.25729544352757,17.057319829129174]}"
0.3590241197671195,-0.4956521739130435,"{""type"":""Point"",""coordinates"":[79.35206381050227,17.08624897615186]}"
0.4466187050359712,-0.4383404864091559,"{""type"":""Point"",""coordinates"":[79.31600865343772,17.063031752692037]}"
0.6662127402027538,-0.5961733584577475,"{""type"":""Point"",""coordinates"":[79.26893140771197,17.11588329223497]}"
0.8011547669342346,-0.710121674020591,"{""type"":""Point"",""coordinates"":[79.33881663958961,17.05903670766136]}"
0.8212881355932203,-0.6723107569721115,"{""type"":""Point"",""coordinates"":[79.32750583732297,17.078711272540872]}"
0.5806977502445386,-0.538315088053308,"{""type"":""Point"",""coordinates"":[79.25442990887436,17.053750795630503]}"
0.7965913814604406,-0.6771439658517656,"{""type"":""Point"",""coordinates"":[79.32822470944471,17.06115328986586]}"
0.6777251184834123,-0.5381750465549349,"{""type"":""Point"",""coordinates"":[79.29307839822286,16.98881763109204]}"
0.2211510371019573,-0.4605171208944794,"{""type"":""Point"",""coordinates"":[79.22051699757574,17.043360968796648]}"
0.7542220625224578,-0.6187002652519894,"{""type"":""Point"",""coordinates"":[79.30598354924945,17.021108374329433]}"
0.7406244837270775,-0.6670886075949367,"{""type"":""Point"",""coordinates"":[79.224153612925,17.06836945574605]}"
0.18042533729705,-0.242358604091456,"{""type"":""Point"",""coordinates"":[79.25447378908467,17.089148315752457]}"
0.2250284414106939,-0.4068460935458584,"{""type"":""Point"",""coordinates"":[79.2702221764779,17.025414068339227]}"
0.8226282501756852,-0.7038496912363684,"{""type"":""Point"",""coordinates"":[79.29542670677681,16.99010268270739]}"
0.7921125934613693,-0.6761277937748525,"{""type"":""Point"",""coordinates"":[79.31172721042542,17.04667489965059]}"
0.4713264495631453,-0.5171171171171172,"{""type"":""Point"",""coordinates"":[79.26004618905729,17.14405239673941]}"
0.6488769092542678,-0.5313751668891856,"{""type"":""Point"",""coordinates"":[79.32510383874613,17.047600887493015]}"
0.7318141980718668,-0.6299147649161396,"{""type"":""Point"",""coordinates"":[79.33181467856943,17.00460385738207]}"
0.7665140614780902,-0.6750387596899224,"{""type"":""Point"",""coordinates"":[79.28731267355776,16.986491578615425]}"
0.7739967897271268,-0.6500447894893998,"{""type"":""Point"",""coordinates"":[79.34194461271024,17.028229695040668]}"
0.2472290281180725,-0.4063938955400605,"{""type"":""Point"",""coordinates"":[79.24815092639527,17.028343460572444]}"
0.8360655737704918,-0.7057305110996386,"{""type"":""Point"",""coordinates"":[79.33033915359444,17.019027348935843]}"
0.3641297154202514,-0.4389835241552638,"{""type"":""Point"",""coordinates"":[79.19419984603407,17.059566997098585]}"
0.6215844646846537,-0.5555555555555556,"{""type"":""Point"",""coordinates"":[79.25948433304181,17.01084102151489]}"
0.7765312310491207,-0.6588335220838052,"{""type"":""Point"",""coordinates"":[79.21029589352926,17.049197404962687]}"
0.2694314748695413,-0.4374125330430726,"{""type"":""Point"",""coordinates"":[79.22332616557472,17.11463407302144]}"
